Wavelength(nm)	Transmittance(%)
300	0.000
302	0.184
304	0.151
306	0.256
308	0.084
310	0.000
312	0.317
314	0.021
316	0.000
318	0.000
320	0.001
322	0.000
324	0.064
326	0.002
328	0.072
330	0.000
332	0.000
334	0.171
336	0.425
338	0.177
340	0.000
342	0.183
344	0.000
346	0.000
348	0.030
350	0.000
352	0.304
354	0.000
356	0.000
358	0.000
360	0.643
362	0.000
364	0.000
366	0.000
368	0.227
370	0.220
372	0.094
374	0.620
376	0.312
378	0.025
380	0.276
382	0.703
384	0.435
386	0.461
388	0.000
390	0.005
392	0.364
394	0.000
396	0.517
398	0.339
400	0.475
402	0.040
404	1.158
406	0.652
408	0.088
410	0.231
412	1.256
414	0.106
416	0.621
418	0.696
420	0.342
422	0.000
424	0.498
426	0.616
428	0.979
430	0.902
432	0.667
434	1.076
436	1.036
438	0.998
440	1.044
442	1.043
444	1.546
446	0.997
448	1.331
450	1.767
452	1.382
454	2.019
456	1.640
458	2.449
460	3.259
462	3.600
464	3.732
466	4.081
468	4.071
470	5.882
472	5.924
474	6.778
476	6.673
478	7.705
480	7.876
482	9.818
484	10.864
486	10.802
488	12.702
490	14.233
492	14.632
494	16.065
496	17.932
498	19.772
500	21.233
502	23.679
504	25.738
506	27.956
508	30.134
510	32.684
512	34.846
514	36.209
516	38.929
518	41.134
520	43.569
522	46.409
524	48.871
526	51.462
528	52.985
530	55.422
532	58.137
534	60.218
536	62.238
538	64.308
540	65.902
542	68.256
544	69.784
546	71.169
548	72.394
550	73.950
552	74.189
554	76.047
556	77.525
558	77.892
560	79.476
562	80.280
564	80.423
566	81.559
568	82.157
570	83.033
572	83.607
574	83.812
576	83.906
578	84.569
580	84.943
582	85.572
584	85.674
586	85.518
588	85.490
590	86.086
592	86.121
594	86.136
596	86.682
598	86.664
600	87.021
602	87.294
604	87.015
606	88.195
608	87.214
610	87.852
612	87.521
614	87.974
616	86.627
618	87.321
620	87.760
622	87.938
624	88.663
626	87.886
628	88.294
630	88.112
632	88.205
634	88.048
636	87.798
638	88.079
640	87.457
642	88.372
644	87.504
646	88.020
648	88.777
650	87.846
652	87.950
654	88.414
656	87.964
658	87.636
660	88.066
662	88.200
664	88.255
666	87.665
668	88.677
670	88.646
672	87.988
674	88.091
676	87.813
678	88.552
680	87.706
682	88.259
684	87.798
686	87.714
688	88.280
690	88.527
692	87.990
694	87.723
696	88.320
698	87.976
700	88.120
702	88.606
704	88.449
706	87.789
708	88.911
710	87.999
712	88.312
714	87.739
716	87.980
718	87.299
720	88.713
722	88.545
724	87.513
726	87.397
728	87.351
730	88.470
732	87.816
734	87.975
736	87.874
738	87.951
740	87.564
742	88.009
744	87.424
746	87.971
748	88.123
750	88.187
752	87.907
754	87.638
756	88.064
758	87.806
760	88.626
762	88.307
764	87.954
766	87.811
768	87.719
770	87.625
772	87.859
774	88.118
776	88.206
778	88.227
780	88.839
782	87.718
784	88.005
786	89.118
788	87.253
790	87.791
792	88.068
794	88.062
796	88.163
798	87.904
800	88.146
802	88.021
804	88.309
806	87.243
808	87.646
810	87.999
812	87.587
814	87.582
816	88.251
818	87.740
820	88.254
822	88.298
824	88.123
826	88.203
828	87.958
830	87.436
832	87.988
834	88.182
836	87.788
838	87.960
840	88.300
842	87.649
844	88.256
846	88.745
848	87.778
850	88.059
852	87.940
854	88.616
856	88.127
858	88.359
860	87.724
862	87.994
864	87.996
866	87.290
868	88.576
870	88.360
872	87.300
874	88.298
876	87.948
878	88.179
880	88.147
882	87.400
884	87.915
886	88.597
888	87.770
890	87.591
892	87.456
894	87.512
896	88.134
898	88.677
900	88.172
