# Instrument: SolarSim-3000
# Operator: lab
# Scan: reverse
# Sample: S3
Voltage(V),Current density(mA/cm2)
0.0000,26.1247
0.0101,26.1281
0.0202,26.0594
0.0303,26.1058
0.0405,26.0229
0.0506,26.0465
0.0607,26.0199
0.0708,26.1107
0.0809,26.0414
0.0910,26.0778
0.1012,26.0722
0.1113,26.0769
0.1214,26.0598
0.1315,26.0844
0.1416,26.1309
0.1517,26.0783
0.1618,26.0927
0.1720,26.1066
0.1821,26.0704
0.1922,26.0384
0.2023,26.0593
0.2124,26.1080
0.2225,26.0262
0.2327,26.0574
0.2428,26.1054
0.2529,26.0987
0.2630,26.0750
0.2731,26.0987
0.2832,26.0793
0.2933,26.0388
0.3035,26.0270
0.3136,26.0546
0.3237,26.1012
0.3338,26.0564
0.3439,26.0461
0.3540,26.0498
0.3641,26.0268
0.3743,26.0690
0.3844,26.0369
0.3945,26.0830
0.4046,26.0011
0.4147,26.0815
0.4248,26.0523
0.4350,26.0130
0.4451,26.0928
0.4552,26.0626
0.4653,26.0038
0.4754,26.0442
0.4855,26.0790
0.4956,26.0563
0.5058,26.0933
0.5159,26.0921
0.5260,26.0895
0.5361,26.0791
0.5462,26.1091
0.5563,26.0887
0.5665,26.0822
0.5766,26.0059
0.5867,26.0952
0.5968,26.1073
0.6069,26.0590
0.6170,26.0536
0.6271,26.1257
0.6373,26.0145
0.6474,26.0811
0.6575,26.1396
0.6676,26.0388
0.6777,26.0871
0.6878,26.1228
0.6980,26.0624
0.7081,26.0827
0.7182,26.0927
0.7283,26.0382
0.7384,26.0625
0.7485,26.0738
0.7586,26.0895
0.7688,26.0635
0.7789,26.0584
0.7890,26.0335
0.7991,26.0530
0.8092,26.0902
0.8193,26.0661
0.8294,26.0371
0.8396,26.0369
0.8497,26.1416
0.8598,26.0950
0.8699,26.0790
0.8800,25.9809
0.8901,26.0757
0.9003,26.0694
0.9104,26.1027
0.9205,26.0612
0.9306,26.0412
0.9407,26.0520
0.9508,25.9685
0.9609,26.0449
0.9711,26.0061
0.9812,25.9512
0.9913,25.9790
1.0014,25.9484
1.0115,25.7901
1.0216,25.7274
1.0318,25.6399
1.0419,25.4773
1.0520,25.2412
1.0621,24.9242
1.0722,24.6059
1.0823,24.0095
1.0924,23.1691
1.1026,22.1036
1.1127,20.7397
1.1228,18.7220
1.1329,16.0086
1.1430,12.2220
1.1531,7.0188
1.1633,-0.0154
1.1734,-9.7840
1.1835,-23.0421
1.1936,-41.2665
1.2037,-66.2770
1.2138,-100.6470
